,LShoulderPitch,LShoulderRoll,RShoulderPitch,RShoulderRoll,LElbowYaw,LElbowRoll,RElbowYaw,RElbowRoll
0,1.5499999999999998,0.0087,1.5499999999999998,-0.42999999999999994,-1.12,-0.56,0.9199999999999999,0.43
1,1.5175147475719455,0.0087,-2.0857,-0.4445048913180827,-1.140872846248746,-1.562,0.913485802912712,0.4477535213083029
2,0.7108996472835543,0.0087,-2.0857,-0.45778540292978276,-1.7683432056039572,-1.562,0.38553314447402975,0.2834703901946545
3,0.16601272021532054,0.0087,-2.0857,-0.521445626026392,-2.0857,-1.562,0.014253736686706375,0.12036432442665101
4,-0.1777579802513123,0.0087,-2.0857,-0.579128355127573,-2.0857,-1.562,-0.2779171589910985,0.0087
5,-0.40841152563095084,0.0087,-2.0857,-0.6388632062554359,-2.0857,-1.562,-0.5571028528094293,0.0087
6,-0.5851929926455022,0.0087,-2.0857,-0.7132403855025768,-2.0857,-1.562,-0.7619757028341294,0.0087
7,-0.7022783593833446,0.0087,-2.0857,-0.7874458216249943,-2.0857,-1.562,-0.9089054523468019,0.0087
8,-0.7628939112067223,0.0087,-2.0857,-0.8542973189890385,-2.0857,-1.562,-1.0187515678048134,0.0087
9,-0.777309633475542,0.0087,-2.0857,-0.9111554959237576,-2.0857,-1.562,-1.1087177136600017,0.0087
10,-0.7617723195552826,0.0087,-2.0857,-0.9594106847763062,-2.0857,-1.562,-1.1789221157670022,0.0087
11,-0.7399684137523175,0.0087,-2.0857,-0.9960001177251339,-2.0857,-1.562,-1.218415518450737,0.0087
12,-0.7260666196465493,0.0087,-2.0857,-1.0191786809384822,-2.0857,-1.562,-1.2294921373099088,0.0087
13,-0.7127210216224193,0.0087,-2.0857,-1.0336045479118825,-2.0857,-1.562,-1.2297004932850601,0.0087
14,-0.6998868654131889,0.0087,-2.0857,-1.042617682647705,-2.0857,-1.562,-1.2259960831731558,0.0087
15,-0.6882465292692186,0.0087,-2.0857,-1.0478283968269824,-2.0857,-1.562,-1.220612207043171,0.0087
16,-0.6782369888782502,0.0087,-2.0857,-1.0504736112833024,-2.0857,-1.562,-1.2148198239117862,0.0087
17,-0.6699992201805116,0.0087,-2.0857,-1.0514665735542774,-2.0857,-1.562,-1.2093267349392176,0.0087
18,-0.663466464728117,0.0087,-2.0857,-1.0514589816749096,-2.0857,-1.562,-1.20448923381567,0.0087
19,-0.6584533652663231,0.0087,-2.0857,-1.0508995897829534,-2.0857,-1.562,-1.2004437588959933,0.0087
20,-0.6547239673554897,0.0087,-2.0857,-1.0500852218449115,-2.0857,-1.562,-1.1971947234481575,0.0087
21,-0.65202864164114,0.0087,-2.0857,-1.0491946573615074,-2.0857,-1.562,-1.1946864332735538,0.0087
22,-0.6501406331717969,0.0087,-2.0857,-1.048325109422207,-2.0857,-1.562,-1.192836030820012,0.0087
23,-0.6488914918601514,0.0087,-2.0857,-1.0475537004113198,-2.0857,-1.562,-1.19149887278378,0.0087
24,-0.6481100326359273,0.0087,-2.0857,-1.0469099645912647,-2.0857,-1.562,-1.1905612708956004,0.0087
25,-0.647655279558897,0.0087,-2.0857,-1.0463967720627785,-2.0857,-1.562,-1.1899273142755034,0.0087
26,-0.6474195737540722,0.0087,-2.0857,-1.0460030127584934,-2.0857,-1.562,-1.1895164452433586,0.0087
27,-0.6473236007153989,0.0087,-2.0857,-1.0457110957384108,-2.0857,-1.562,-1.1892647646516563,0.0087
28,-0.6473117905616761,0.0087,-2.0857,-1.045501856136322,-2.0857,-1.562,-1.1891223590612412,0.0087
29,-0.6473458535313608,0.0087,-2.0857,-1.0453569623410703,-2.0857,-1.562,-1.1890520575672388,0.0087
30,-0.647401547729969,0.0087,-2.0857,-1.0452604899227618,-2.0857,-1.562,-1.1890271319270136,0.0087
31,-0.6474632091641426,0.0087,-2.0857,-1.0451992919683457,-2.0857,-1.562,-1.1890289966881276,0.0087
32,-0.6475220112979412,0.0087,-2.0857,-1.045162813913822,-2.0857,-1.562,-1.1890449093163014,0.0087
33,-0.6475737273395061,0.0087,-2.0857,-1.0451430935442447,-2.0857,-1.562,-1.1890668513387443,0.0087
34,-0.6476167411625386,0.0087,-2.0857,-1.0451342054903507,-2.0857,-1.562,-1.1890898500591516,0.0087
35,-0.6476508041322231,0.0087,-2.0857,-1.0451319834768773,-2.0857,-1.562,-1.1891111704945565,0.0087
36,-0.6476769107878209,0.0087,-2.0857,-1.0451334648191928,-2.0857,-1.562,-1.1891296316295863,0.0087
37,-0.6476961799860002,0.0087,-2.0857,-1.045136890423298,-2.0857,-1.562,-1.1891445497184994,0.0087
38,-0.6477098549008369,0.0087,-2.0857,-1.0451409641146658,-2.0857,-1.562,-1.1891562977135182,0.0087
39,-0.6477191787064076,0.0087,-2.0857,-1.045145037806034,-2.0857,-1.562,-1.1891653107255697,0.0087
40,-0.6477256432116032,0.0087,-2.0857,-1.0451487411618232,-2.0857,-1.562,-1.1891718373894693,0.0087
41,-0.6477294970512391,0.0087,-2.0857,-1.0451517038464546,-2.0857,-1.562,-1.1891765614509584,0.0087
42,-0.6477319833993913,0.0087,-2.0857,-1.0451542036116124,-2.0857,-1.562,-1.1891797315448525,0.0087
43,-0.6477331022560597,0.0087,-2.0857,-1.0451561478734015,-2.0857,-1.562,-1.1891817827820779,0.0087
44,-0.6477337238430978,0.0087,-2.0857,-1.0451575366318226,-2.0857,-1.562,-1.18918296379745,0.0087
45,-0.6477338481605053,0.0087,-2.0857,-1.0451585550546647,-2.0857,-1.562,-1.1891837097018958,0.0087
46,-0.6477335995256901,0.0087,-2.0857,-1.0451592957258224,-2.0857,-1.562,-1.1891842069715262,0.0087
47,-0.6477334752082824,0.0087,-2.0857,-1.045159758645296,-2.0857,-1.562,-1.1891842691302301,0.0087
48,-0.6477333508908749,0.0087,-2.0857,-1.0451600363969802,-2.0857,-1.562,-1.1891842691302301,0.0087
49,-0.6477328536212446,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891842069715262,0.0087
50,-0.6477326049864292,0.0087,-2.0857,-1.0451604067325593,-2.0857,-1.562,-1.1891840826541187,0.0087
51,-0.647732356351614,0.0087,-2.0857,-1.0451604067325593,-2.0857,-1.562,-1.189183958336711,0.0087
52,-0.6477322320342065,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891838340193033,0.0087
53,-0.6477322320342065,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
54,-0.6477321077167988,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
55,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
56,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
57,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
58,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
59,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
60,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
61,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
62,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
63,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
64,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
65,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
66,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
67,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
68,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
69,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
70,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
