,LShoulder_Pitch,LShoulder_Roll,RShoulder_Pitch,RShoulder_Roll,LElbow_Yaw,LElbow_Roll,RElbow_Yaw,RElbow_Roll
0,1.3600091785256494,0.07543545833153575,1.3871719650915912,-0.1926494935293559,-1.4689499309847178,-0.4524327856061938,1.285636161875421,0.4707564819012635
1,1.3284171670948526,0.06955380696088809,1.3203970882420455,-0.22777647447160088,-1.399461923975857,-0.414683563375041,1.160707049738586,0.44693386932661827
2,1.3172492600928825,0.06799626905089551,1.3075490861875152,-0.2352170726726064,-1.3719357073384553,-0.3977740254611155,1.1349467585832027,0.4431025550445402
3,1.3118275064299407,0.06579378634858801,1.3065492400546042,-0.2375822021476357,-1.3489872208254423,-0.3879673265320398,1.1319586296390587,0.4461874428827741
4,1.3057342291556215,0.06279190298560278,1.3030082299974677,-0.24192880092060332,-1.3270026857626251,-0.383482246665948,1.1263041607885091,0.45043970524165955
5,1.295372227949626,0.05854742593888429,1.3011579366162218,-0.2453829045000382,-1.3116662236387446,-0.3744957169167433,1.126895446833182,0.45404641244081834
6,1.285476456632567,0.05602446686428353,1.2954990358780218,-0.24873284468286183,-1.300675478595878,-0.3645282962367773,1.118119416237574,0.4563314098940321
7,1.2771312793338527,0.05277191960035621,1.291175228605552,-0.2528728391639383,-1.2914737229671922,-0.3579130966953943,1.115287525654455,0.45643941519660025
8,1.273748674312102,0.05046290880984805,1.2903656722395787,-0.25668081536334997,-1.2922511976204225,-0.3581364560790057,1.1145819714055332,0.4609526000026887
9,1.2787212252604085,0.049447499061927136,1.2939816136260993,-0.26377344880920206,-1.293183554156313,-0.3692815886004004,1.0906684609236426,0.46267274884606024
10,1.29114442661243,0.05017025686383869,1.3084258451826996,-0.2704530898845836,-1.2972859118425606,-0.38129166396423386,1.1191965877641037,0.4789034335338398
11,1.3019599658232397,0.051479488944533136,1.3196241670291102,-0.27470978684913105,-1.3029486761745421,-0.3836077018430286,1.1454854014720193,0.4904616192452931
